     12 0.023810
     12 0.032258
     35 0.041667
     27 0.043478
     32 0.045455
     46 0.047619
     25 0.050000
     28 0.055556
      9 0.057143
    132 0.058824
    252 0.062500
      6 0.063830
      9 0.064516
    281 0.066667
      8 0.068182
      8 0.068966
     15 0.069767
    377 0.071429
      9 0.073171
    263 0.076923
     38 0.078431
     26 0.081633
      9 0.081967
    780 0.083333
     21 0.085106
     14 0.085714
     56 0.086957
      6 0.088235
     10 0.088608
      9 0.088889
    608 0.090909
     29 0.093023
     11 0.093333
     68 0.095238
      7 0.095890
     34 0.096154
     25 0.096774
      9 0.097561
     18 0.098039
     13 0.098592
    536 0.100000
     21 0.101449
     18 0.102041
     24 0.103448
     10 0.103896
     29 0.104167
     25 0.105263
      9 0.105882
     11 0.106383
     11 0.106667
     23 0.109091
     26 0.109375
     23 0.109589
    579 0.111111
      7 0.112676
     59 0.112903
     34 0.113208
     34 0.113636
     23 0.114286
     48 0.115385
     46 0.116279
      6 0.116667
      9 0.116883
    260 0.117647
      8 0.118421
      6 0.118644
     17 0.119048
     27 0.119403
     59 0.120000
      7 0.120690
     37 0.121212
      9 0.121622
     15 0.121951
     41 0.122449
     10 0.122807
     39 0.123288
     17 0.123457
   1243 0.125000
      4 0.126437
      9 0.126582
     24 0.126761
     14 0.126984
      9 0.127273
      7 0.128205
      5 0.128571
     86 0.129032
     14 0.129630
     81 0.129870
     96 0.130435
     25 0.130952
     18 0.131148
      9 0.131579
     60 0.132075
     27 0.132353
    565 0.133333
     61 0.134328
     70 0.134615
      9 0.135135
     11 0.135593
    373 0.136364
     17 0.136986
     51 0.137255
     20 0.137500
     48 0.137931
     45 0.138889
     17 0.139241
     53 0.139535
     64 0.140000
     19 0.140351
     19 0.140625
     15 0.141026
     11 0.141176
   1026 0.142857
     36 0.144737
     22 0.144928
     41 0.145161
     22 0.145455
    141 0.145833
      5 0.146341
     42 0.146667
     63 0.147059
     15 0.147541
     61 0.148148
     25 0.148649
     60 0.148936
    106 0.149254
     37 0.149425
    223 0.150000
     86 0.150685
    185 0.150943
     84 0.151515
     25 0.151899
     18 0.152174
     21 0.152542
     28 0.152778
      9 0.152941
    581 0.153846
     41 0.154762
